Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Gravitational acceleration (m/s),Angle of attack (rad),Roll rate (rpm),Pitch rate (rpm),Yaw rate (rpm),Mass (g),Longitudinal moment of inertia (kgm),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Vertical orientation (zenith) (rad),Air pressure (Pa)
0,0,0,35.764,0,0,9.8221,1.3963,0,0,0,18553,6.611,NaN,199.83,NaN,0.041129,2564862,843,0.0090054,0.75355,0.0090379,0.51385,0.11948,0.12022,NaN,NaN,NaN,NaN,NaN,1.3963,101325
2e-3,7.0442e-5,0.071529,115.28,1.2421e-5,0,9.8221,1.3912,0,0,0,18553,6.611,NaN,199.83,NaN,0.041166,2567169,2318.2,0.0097904,0.75347,0.009808,0.51376,0.11948,0.12022,NaN,NaN,NaN,NaN,NaN,1.3963,101325
4e-3,4.384e-4,0.30211,126.65,7.7302e-5,0,9.8221,1.3751,0,0,0,18551,6.6107,NaN,199.83,NaN,0.041293,2575049,2529,0.012613,0.75318,0.012558,0.51348,0.11949,0.12022,NaN,NaN,NaN,NaN,NaN,1.3963,101325
6e-3,0.0012829,0.55545,126.67,2.2621e-4,0,9.8221,1.3575,0,0,0,18549,6.6104,NaN,199.82,NaN,0.041444,2584475,2529,0.016254,0.75285,0.016066,0.51314,0.11949,0.12022,NaN,NaN,NaN,NaN,NaN,1.3963,101325
8e-3,0.0026265,0.80882,126.69,4.6312e-4,0,9.8221,1.34,0,0,0,18546,6.6101,NaN,199.82,NaN,0.041608,2594699,2529,0.020497,0.75248,0.020101,0.51277,0.11949,0.12023,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.01,0.0044691,1.0622,126.71,7.8802e-4,0,9.8221,1.3226,0,0,0,18543,6.6097,NaN,199.82,NaN,0.041784,2605711,2529,0.025374,0.75209,0.024674,0.51237,0.11949,0.12023,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.012,0.0068109,1.3157,126.73,0.0012009,0,9.8221,1.3054,0,0,0,18540,6.6093,NaN,199.81,NaN,0.041974,2617503,2529,0.030917,0.75167,0.029793,0.51196,0.11949,0.12023,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.014,0.009652,1.5692,126.75,0.0017019,0,9.8221,1.2884,0,0,0,18537,6.6089,NaN,199.81,NaN,0.042175,2630064,2529,0.037154,0.75123,0.035462,0.51151,0.11949,0.12023,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.016,0.012992,1.8227,126.77,0.0022909,0,9.8221,1.2715,0,0,0,18534,6.6086,NaN,199.81,NaN,0.042389,2643383,2529,0.044111,0.75077,0.041679,0.51104,0.11949,0.12023,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.018,0.016832,2.0763,126.8,0.002968,0,9.8221,1.2548,0,0,0,18531,6.6082,NaN,199.8,NaN,0.042614,2657449,2529,0.051813,0.75028,0.048439,0.51055,0.11949,0.12024,NaN,NaN,NaN,NaN,NaN,1.3963,101325
